dish_name,dish_rating,cooking_time,course,cuisine,ingredients
Southern Cornbread Dressing,4,3600,,Southern & Soul Food,"['buttermilk cornbread', 'sandwich bread', 'salt', 'black pepper', 'rubbed sage', 'egg', 'onion', 'celery', 'butter', 'cream of chicken soup', 'chicken stock']"
Disappearing Buffalo Chicken Dip,4,2100,[Appetizers],American,"['light mayonnaise', 'lemon juice', 'cayenne pepper sauce', 'blue cheese', 'chive', 'shredded cheddar cheese', 'cooked chicken']"
Classic Macaroni Salad,4,1500,"[Salads, Side Dishes]",American,"['elbow macaroni', 'hellmann or best food real mayonnais', 'red vinegar white white', 'wine', '', 'hellmann s dijonnaise creamy dijon mustard', 'sugar', 'salt', 'ground black pepper', 'celery', 'green bell pepper', 'slice', 'onion']"
Classic Coleslaw,4,600,"[Salads, Side Dishes]",Southern & Soul Food,"['hellmann or best food real mayonnais', 'lemon juice', 'sugar', 'salt', 'cabbage', 'carrot', 'green bell pepper']"
Buffalo Turkey Burgers with Buffalo Blue Cheese Sauce,4,1380,[Main Dishes],American,"['lean ground turkey', 'hot sauce', 'ranch style seasoning', 'garlic', 'egg', 'panko breadcrumb', ' greek yogurt', 'light mayonnaise', 'crumbled blue cheese', 'bun', 'tomato', 'purple onion', 'lettuce', 'blue cheese', 'buffalo sauce']"
Creamed Spinach,5,2700,[Side Dishes],American,"['baby spinach', 'heavy cream', 'onion', 'garlic', 'unsalted butter', 'all purpose flour', 'grated nutmeg']"
Eggs in Hash Brown Nests,5,,[Breakfast and Brunch],American,"['russet potato', 'salt', 'pepper', ' egg', 'cooking spray']"
Home Fries,4,1800,"[Lunch and Snacks, Side Dishes, Breakfast and Brunch]",American,"['canola oil', 'yellow onion', 'red potato', 'kosher salt', 'ground black pepper']"
Blueberry Syrup,5,1800,"[Beverages, Breakfast and Brunch, Condiments and Sauces]",American,"['blueberry', 'water', 'sugar', 'lemon juice']"
Brown Sugar Meatloaf,5,1800,[Main Dishes],American,"['brown sugar', 'ketchup', 'meatloaf', 'egg', 'milk', 'onion', 'bread crumb']"
Maryland Crab Cakes,5,5100,"[Appetizers, Main Dishes]",American,"[' egg', 'mayonnaise', 'dijon mustard', 'worcestershire sauce', 'old bay seasoning', 'salt', 'celery', 'fresh parsley', 'lump crab meat', 'panko', 'canola oil', 'pickle relish', 'purple onion', 'lemon juice', 'black pepper']"
Bacon and Brussel Sprout Salad,4,1500,[Salads],American,"['lemon', 'orange', 'shallot', 'olive oil', 'salt', 'cooked bacon', 'brussels sprout', 'almond', 'pecorino romano cheese']"
Skinny Buttermilk Mashed Potatoes with Chives,5,,[Side Dishes],American,"['yukon gold potato', ' buttermilk', 'butter', 'kosher salt', 'ground pepper', 'fresh chive']"
Hot Roast Beef Sandwiches,5,1800,[Lunch and Snacks],American,"['dinner roll', 'roast beef', 'cheese', 'mayonnaise', 'onion', 'poppy seed', 'mustard', 'horseradish mayonnaise', 'worcestershire sauce', 'dressing']"
Cranberry Brie Grilled Cheese,5,1200,"[Appetizers, Lunch and Snacks]",American,"['sourdough bread', 'unsalted butter', 'cranberry sauce', 'whole grain mustard', 'brie cheese']"
Roasted Red Pepper + Bacon Goat Cheese Truffles,5,2700,[Appetizers],American,"['goat cheese', 'roasted red pepper', 'thick cut bacon', 'garlic salt', 'freshly ground pepper', 'pistachio']"
Roasted Corn with Cilantro Butter,5,2700,[Side Dishes],American,"['corn husk', 'butter', 'fresh cilantro', 'chipotle pepper', 'cumin', 'salt']"
Thanksgiving Breakfast Hash with Cheddar Mashed Potato Pancakes,5,1200,[Breakfast and Brunch],American,"['olive oil', 'butter', 'stuffing', 'cheddar cheese', 'egg', 'fresh parsley', 'any']"
Individual Chocolate Lava Cakes,5,10500,"[Afternoon Tea, Desserts]",American,"['ghirardelli cacao bittersweet chocolate', 'egg', 'heavy cream', 'unsalted butter', 'egg yolk', 'sugar', 'vanilla extract', 'cake flour']"
Bourbon Glazed Salmon,5,2700,[Main Dishes],American,"['fresh salmon', 'sea salt', 'black pepper', 'bourbon whiskey', 'brown sugar', 'garlic clove', 'apple cider vinegar', 'worcestershire sauce', 'honey', 'ground mustard']"
Grilled Corn with Bacon Butter and Cotija Cheese,5,2400,[Side Dishes],American,"['ear of corn', 'olive oil', 'butter', 'bacon', 'cotija', 'fresh cilantro', 'black pepper']"
Garlic Butter SautÃ©ed Corn,4,600,[Side Dishes],American,"['butter', 'corn kernel', 'garlic', 'fresh parsley', 'feta cheese', 'salt', 'black pepper']"
Southern Sausage Gravy,5,1200,[Breakfast and Brunch],Southern & Soul Food,"['pork sausage', 'all purpose flour', 'milk', 'black pepper', 'kosher salt', 'biscuit']"
Nawlinâs Low Country Boil,4,,[Main Dishes],American,"['johnsonville andouille', 'klondike gourmet mini potato', 'water', 'shrimp and crab boil seasoning', 'old bay seasoning', 'lemon', 'sweet corn', 'jumbo shrimp']"
Cauliflower Gratin with Sharp Cheddar and Parmesan,5,3600,[Side Dishes],American,"['cauliflower', ' sharp cheddar cheese', 'mayonnaise', 'light sour cream', 'lemon juice', 'dijon mustard', 'ground black pepper', 'grated parmesan cheese']"
Grilled Chicken Caesar Salad,4,900,"[Main Dishes, Salads]",American,"['boneless skinless chicken breast half', 'romaine lettuce', 'wish bone creamy caesar dressing', 'crouton']"
Roasted Garlic Mashed Potatoes,5,4800,[Side Dishes],American,"['garlic', 'olive oil', 'russet potato', 'butter', 'milk', 'kosher salt', 'fresh chive']"
Water Toast,5,,,American,"['toast', 'salt', 'boiling water', 'butter']"
"Green Bean Salad with Walnuts, Parmesan and Mint",5,1200,[Salads],American,"['green bean', 'chopped walnut', 'extra virgin olive oil', 'balsamic vinegar', 'chopped fresh mint', 'parmesan cheese', 'white pepper', 'salt']"
Mint Ice,5,3600,,American,"['fresh mint', 'simple syrup']"
Garlic-Parmesan Mashed Potatoes,5,,[Side Dishes],American,"['russet potato', 'kosher salt', 'unsalted butter', 'seasoning', 'half half', 'freshly ground pepper']"
Onion Marmalade,5,5100,"[Condiments and Sauces, Side Dishes]",American,"['olive oil', 'onion', 'water', 'balsamic vinegar', 'brown sugar', 'thyme', 'pepper', 'salt']"
Chicken Fried Steak with White Gravy,4,1800,[Main Dishes],Southern & Soul Food,"['cube steak', 'all purpose flour', 'baking powder', 'baking soda', 'black pepper', 'salt', 'buttermilk', 'egg', 'hot sauce', 'garlic powder', 'vegetable shortening', 'milk', 'pepper']"
Sweet Potato Homefries,5,1800,[Side Dishes],American,"['sweet potato', 'sweet onion', 'salt', 'pepper', 'smoked paprika', 'olive oil']"
Homemade Lemonade,5,,[Beverages],American,"['sugar', 'water', 'lemon', 'ice']"
Skinny Scalloped Potato Gratin,5,,[Side Dishes],American,"['olive oil spray', 'yukon gold potato', 'butter', 'salt', 'pepper', 'garlic powder', 'cheddar cheese', ' milk', 'bay leaf', 'grated nutmeg', 'thyme']"
Roasted Asparagus,4,1500,"[Lunch and Snacks, Side Dishes]",American,"['asparagus', 'garlic', 'wish bone light balsamic basil vinaigrette dressing']"
BBQ Chicken Pizza Soup,5,,[Soups],American,"['extra virgin olive oil', 'onion', 'minced garlic', 'corn', 'chicken', 'chicken broth', 'bbq sauce', 'kosher salt', 'cracked black pepper', 'garlic salt', 'cilantro leaf']"
